key,0,1
16,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_027","ウリエンジェが言うには、
エデンの記憶が結晶化したものじゃないかって……。
<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>さん、覗いてみてもらえますか？"
17,"TEXT_CTSOPN50LEWREY_00622_SYSTEM_100_027","クリスタルの奥に、経験した戦いと似ていながらも、
いやに激し過ぎる光景が映し出されていた……！"
18,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_028","ど、どうしました！？"
19,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_029","自分が経験した戦いとは、
微妙に異なる光景が見えた、ですと！？
それなら、このクリスタルはいったい……。"
20,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_030","エデンの環境エーテルに干渉する力の影響で、
クリスタル自体が変質しているのかもしれません。
そのせいで、記憶が変化しているのかも……。"
21,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_031","（★未使用／削除予定★）"
22,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_032","何にしても、このクリスタルは、
<Split(<Highlight>ObjectParameter(1)</Highlight>, ,2)/>様にお預けした方が、
有効活用していただけそうですね。"
23,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_032","はい、私もそう思っていたんです。
異なる記憶にせよ、存在し得た可能性として、
今後の戦いへ活かせる部分があるかもしれません。"
24,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_033","私も、もっともっと鍛錬や勉強をしなくっちゃ……。
ひとまず、これで失礼します！"
25,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_200","リーン様によると、「無の大地」の調査について、
六属性の励起がすべて終わったとのことですが……。"
26,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_201","今後も経過観察のために現地を訪れるようですので、
定期報告に基づく物資の補給は継続していくつもりです。"
27,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_202","第2回の定期報告には、疑似「シヴァ」との戦いまでを
記していただくことになっているのですが……。"
28,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_203","ルーリーさん、報告書を持ってきました。"
29,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_204","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>さんも、いらっしゃったんですね。
ちょうどよかったです……！"
30,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_205","実は、報告が終わったら、ガイアとお茶に行こうかと。
よかったら、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>さんも是非！"
31,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_206","それはいいですね。
では、報告書をお預かりしましょう。"
32,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_207","報告終了！
ガイア、お待たせ！"
33,"TEXT_CTSOPN50LEWREY_00622_GAIA_000_208","あ、そうだわ、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>に、
見てもらいたいものがあったの。"
34,"TEXT_CTSOPN50LEWREY_00622_GAIA_000_209","このクリスタル、エデンの中で見つけたの。
記憶を取り戻す手がかりになるかも……と思って、
持って帰ってきたのだけれど……。"
35,"TEXT_CTSOPN50LEWREY_00622_GAIA_000_210","内側を覗くと、アナタの姿が映ってるのよ。
いったい何なのかしら？"
36,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_211","これ、エデンの記憶が結晶化したものです！
でもたしか、その内容は……。"
37,"TEXT_CTSOPN50LEWREY_00622_SYSTEM_000_212","クリスタルの奥に、経験した戦いと似ていながらも、
いやに激し過ぎる光景が映し出されていた……！"
38,"TEXT_CTSOPN50LEWREY_00622_LEWREY_100_212","だ、大丈夫ですか！？
まさか以前と同じように、実際の経験とは違う光景が……？"
39,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_213","やっぱり、環境エーテルに干渉する力の影響なんでしょうか？
今回は、かなり特殊な励起も行いましたし……。"
40,"TEXT_CTSOPN50LEWREY_00622_GAIA_000_214","なによそれ、記憶を取り戻す鍵になるどころか、
都合が悪い内容に改竄されているですって！？
そんな不吉なものいらないわ、アナタにあげる。"
41,"TEXT_CTSOPN50LEWREY_00622_GAIA_000_215","時間を無駄にしたわ……。
それじゃ、さっさとお茶しに行きましょ。"
42,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_216","あ、ガイア！"
43,"TEXT_CTSOPN50LEWREY_00622_RYNE_000_217","ご、ごめんなさい、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>さん！
お茶は、また今度ご一緒に……！"
44,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_218","そのクリスタルが前のものと同じなのでしたら、
異なる記憶であったとしても、存在し得た可能性として、
今後の戦いへ活かせる部分があるかもしれません。"
45,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_219","そのままお持ちになられた方がよろしいかと……。"
46,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_400","リーン様から依頼された、謎の襲撃者の移送などは、
さっそく手配を進めておきました。"
47,"TEXT_CTSOPN50LEWREY_00622_LEWREY_100_400","しかるべきときまで、人目を避けて、
保護と監視を行っていくことになるでしょう。"
48,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_401","それにしても……大きな声では言えませんが、
「無の大地」の再生だなんて……。
まるで、酒場で詩人が歌う、夢物語のようですよ……！"
49,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_402","私はただの役人ですので、その冒険に参加できません。
ですが、ホバー船や簡易エーテライトの用意など、
後方支援でしたらお任せください。"
50,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_403","（★未使用／削除予定★）"
51,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_410","ガイア様が住んでいた部屋は、彼女の記憶を頼りに、
ユールモアの自由市民居住区で見つかったそうです。"
52,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_411","しかし……隣人は彼女の名前すら知りませんでした。
市民同士の接触は、ほとんどなかったのでしょうね。"
53,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_412","ユールモアは今、再建に向けて動いています。
もう少し経てば、より詳しいこともわかるのではないかと。"
54,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_413","引き続き、我々も調べてみます。
皆様は、「無の大地」を再生させる冒険、頑張ってください！"
55,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_420","今はまだ他言無用とのことですが、
「無の大地」に緑が蘇ったそうですね。"
56,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_421","我々には後方支援をすることしかできませんが、
その活動が、文字通り実を結ぶことになろうとは……
こんなに嬉しいことはありません！"
57,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_422","それはさておき……ガイア様のお部屋も、
クリスタリウムに用意させていただきました。"
58,"TEXT_CTSOPN50LEWREY_00622_LEWREY_000_423","記憶が戻るまでは……いや、戻ったとしても、
どこでどう過ごすかは、彼女の自由。
我々は、それを後押しするだけです！"
59,"TEXT_CTSOPN50LEWREY_00622_TALK_ACTOR","（★未使用／削除予定★）"
60,"TEXT_CTSOPN50LEWREY_00622_RENRAKU_000_400","（★未使用／削除予定★）"
61,"TEXT_CTSOPN50LEWREY_00622_A1_000_001","（★未使用／削除予定★）"
